County,Healthcare Access Index | Antenatal Care Access,Healthcare Access Index | Skilled Delivery,Healthcare Access Index | Postnatal Care,Healthcare Access Index | Geographic Barriers (5km / 30-min Standard),Healthcare Access Index | Financial Barriers (Insurance & OOP),Healthcare Access Index | Health Insurance Coverage,Healthcare Access Index | Tracer Item Utilisation (HRH Proxy),Healthcare Access Index,Population Vulnerability Index | Socioeconomic Deprivation,Population Vulnerability Index | WASH Deficits,Population Vulnerability Index | Demographic Vulnerability,Population Vulnerability Index,Immunization Coverage Index | EPI Routine Vaccines,Immunization Coverage Index | Vaccination Completion,Immunization Coverage Index,Disease Burden Index | Child Nutrition,Disease Burden Index | Infectious Disease Burden,Disease Burden Index,UCS,Cluster,Cluster_label,HDBSCAN_Cluster,Anomaly,Anomaly_score,Predicted_Anomaly,Predicted_Anomaly_label
Machakos,0.321704002754932,-0.43073430183135336,-1.0222554922031928,-0.5007481760544015,-1.3157311299826284,-0.841282236226961,0.13716342579367083,-0.5216977011071335,-0.5922270201089682,-0.8570251379923098,0.8720870098429778,-0.19238838275276673,-0.3987483545679857,0.5049333786941581,0.05309251206308621,-0.27157018866612376,-0.47674841785049715,-0.3741593032583105,39.42871485551527,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12390172043358333,0,Normal
Makueni,0.3317190694906187,-0.49685139950252727,-0.599160606962711,0.56472169078266,-0.17404820921741856,-0.3885804767917791,-0.07103388486892574,-0.11903340243858329,-0.01845747014624124,0.23387479907038022,1.4584323347936203,0.5579498879059198,-0.20630429547985155,0.16110328638671711,-0.022600504546567216,-0.5183361555411932,-1.3853546027448065,-0.9518453791429998,54.91212806506002,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.09409238133542225,0,Normal
Mandera,-2.325457679742593,2.2030624841751045,2.324485912515417,-0.11473296221901481,-0.8148985279488333,2.6121854714642834,0.962517050206107,0.6924516783500673,2.3285241833011012,1.0182838014345046,-0.8757840633961881,0.8236746404464727,3.904965735697682,-3.8085041840952054,0.04823077580123836,1.1884324369388923,-0.531306873774359,0.32856278158226665,88.76052770583888,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Normal,0.0660617490755781,0,Normal
Marsabit,-0.22813097779513986,1.2078580847479217,2.2691141212480477,1.864188132609774,1.9154469476547578,2.392301759738624,-1.6771274242660992,1.106235806276841,1.8092053982400547,0.9039990461231758,0.07284798880692085,0.9286841443900503,0.5951190893746591,-0.4185417411333748,0.08828867412064215,1.2555455600412238,-0.738577440524948,0.2584840597581379,97.50204896651475,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Anomaly,-0.011884941612903988,1,Anomaly
Meru,0.06449857748460744,-0.2475493040043167,0.8466194474563717,0.12812693463121655,-0.007104008539486886,-0.996494268033309,0.962517050206107,0.10723063274302717,-0.37425125148886357,0.19751146783495707,0.9905667388453978,0.2712756517304971,-0.2776812567103323,0.3169187681867748,0.01961875573822125,0.15625796066538086,1.1925756197527313,0.6744167902090561,71.2682950343481,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.15199930610999685,0,Normal
Migori,0.42335442040163085,-0.2571788916238812,-0.011849060302456561,0.43557049464099495,0.7522228397052985,-0.4661864926949533,0.9699526684440568,0.26369799693866997,0.09703035102914018,0.545560495374006,-0.706861473559748,-0.021423542385533973,-0.4254591796976156,0.405916750317874,-0.0097712146898708,-0.4143974609767581,1.0389925793778922,0.31229755920056707,64.43681317339342,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.1502471597089789,0,Normal
Mombasa,0.4381275418791739,-0.5746455104841511,-0.08511745113494752,-0.4682976367304647,-0.33022181630322545,0.5879618899898276,-1.1640697658475574,-0.22803753551876355,-0.9941546082483534,-2.2751950561738066,-1.7985987811223285,-1.6893161485148296,-0.6149722952821347,0.6833879242604887,0.03420781448917698,-0.30873054180584725,0.021192845042399138,-0.14376884838172405,18.200294175825135,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.041446285717868014,0,Normal
Murang'a,0.325919770358107,-0.48640896173356085,-0.7388207223373662,-0.11201064311386041,-1.1918693036731953,-0.6796030364286817,0.4420237735496157,-0.3486813033398488,-0.3602741602958068,0.026084334867963077,2.5148642684229445,0.726891480998367,-0.28667388355373397,0.5054317470498803,0.10937893174807314,-0.7375946346963494,-0.8681855575400055,-0.8028900961181775,55.69804216296023,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.015825743424540684,0,Normal
Nairobi,1.0608279373420624,-0.8034045384408388,-0.743954039704886,-1.036419875482093,-0.8095132311527713,-0.2851057889208803,-0.9930505463747102,-0.5158028689620168,-1.0554175972448592,-3.844013060902056,-1.5137413072558907,-2.137723988467602,-0.0053909850102704816,-0.020767238145363083,-0.013079111577816781,-1.1440980686400049,0.07238719183401217,-0.5358554384029963,0.0,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Anomaly,-0.023130468961165107,1,Anomaly
Nakuru,0.5288377626342186,-0.49937879662882323,-0.5231231010051994,-0.4046308830210777,-0.4917807201850948,-0.5890626845416455,0.8435471583989089,-0.1622273234783876,-0.4134976871109205,-0.7635194291012223,-0.1243453741011652,-0.4337874967711026,-0.6142587527601628,0.5577945039812254,-0.028232124389468705,0.4249837106294631,-0.09492516931694112,0.165029270656261,47.13121269084042,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12852096524352313,0,Normal
